ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,RiskScore,LoanApproved
2056-07-07,28,15000,524,Employed,High School,4,27468,72,Single,0.0,Mortgage,800.0,0.286103188320865,3,1,0.1999290985242169,0,Auto,0,23,22,1741,704,144102,5111,1250.0,0.8257102252977605,5.0,138991,0.280468,0.2649208244015985,765.256557571434,1.2522052460571471,48.0,0
2060-10-19,18,45060,473,Employed,Master,0,13740,60,Married,0.0,Other,427.0,0.1577666582325716,3,0,0.3406333999683705,0,Auto,0,29,8,1624,167,175881,109165,3755.0,0.8018276449357944,8.0,66716,0.28224,0.307876163675303,451.205743686635,0.2338763631655486,53.0,0
2054-01-29,63,42583,602,Employed,Master,41,35731,36,Divorced,3.0,Own,503.0,0.0644063594697409,3,0,0.219107723388931,0,Other,0,29,22,1419,712,33759,37609,3548.583333333333,0.7131699821649198,4.0,8973,0.2197309999999999,0.1955642240535849,1319.8300594603254,0.5136782451570792,49.0,0
2072-09-21,31,77443,525,Employed,Bachelor,9,8237,36,Divorced,1.0,Mortgage,318.0,0.2835005587375518,2,2,0.242764842456873,0,Education,0,34,25,4705,1525,17928,9646,6453.583333333333,0.9279291237666142,7.0,8282,0.230737,0.2470354021041313,326.2115587518838,0.0998223042111308,41.6,1
2033-03-01,25,30900,540,Unemployed,Bachelor,2,41589,84,Married,2.0,Mortgage,169.0,0.283031666952128,3,1,0.3869188277705941,0,Other,0,29,1,274,1835,208268,186993,2575.0,0.713569101692856,3.0,21275,0.296589,0.3132559222195339,1226.4497449083783,0.54192223103238,62.0,0
2025-09-21,36,28702,469,Employed,High School,11,18851,48,Single,2.0,Rent,535.0,0.1583591257985294,3,1,0.3253896306234605,0,Education,0,25,15,1048,4736,68199,62604,2391.833333333333,0.8873876413679628,4.0,5595,0.279351,0.2932220270880819,671.3378387145715,0.5043569808576007,55.0,0
2034-05-28,43,35858,620,Unemployed,Associate,22,43036,48,Divorced,1.0,Rent,451.0,0.267708038860327,3,0,0.6035952413851573,0,Home,0,21,9,5948,1319,50489,46212,2988.1666666666665,0.638020013393708,3.0,4277,0.228036,0.2293164055485717,1377.755794938215,0.6119992620686759,60.0,0
2063-09-08,33,17106,432,Unemployed,High School,11,29679,60,Single,4.0,Own,449.0,0.4593432091773069,4,2,0.4295490929942623,0,Auto,0,28,7,1660,325,262679,21506,1425.5,0.8696410073891776,8.0,241173,0.318679,0.2761681342150753,917.2312398588156,0.9584224762250548,59.0,0
2019-04-26,38,23183,600,Employed,Associate,18,20886,12,Widowed,3.0,Own,523.0,0.2139423222711999,2,2,0.0108304404045652,0,Debt Consolidation,0,21,5,1467,503,55953,89600,1931.9166666666667,0.7358280624781434,7.0,5366,0.185886,0.1570242688810778,1892.0648279823972,1.2500874751235287,51.0,0
2067-04-04,51,32320,638,Employed,Bachelor,29,13700,72,Single,1.0,Mortgage,737.0,0.4355638433369699,5,3,0.2993415895417184,0,Debt Consolidation,0,32,17,2526,2040,188141,25931,2693.333333333333,0.8566919248261746,4.0,162210,0.2097,0.2185547880171641,343.0536831020285,0.4010100308547135,47.0,0
2070-10-17,50,139082,553,Self-Employed,Bachelor,30,25127,60,Married,1.0,Rent,319.0,0.2526472581723138,2,0,0.1608919520336522,0,Education,0,30,5,2342,815,24781,5895,11590.166666666666,0.6973946556701841,6.0,18886,0.253627,0.2235116447324869,699.0065697286084,0.0878336437263147,42.400000000000006,1
2066-12-17,44,54079,547,Employed,Bachelor,23,31150,36,Divorced,2.0,Rent,178.0,0.4289767242934274,2,0,0.6111580805381295,0,Other,0,28,10,4712,283,97313,64114,4506.583333333333,0.7351838853068701,3.0,33199,0.24265,0.2562755051031238,1248.8807867783198,0.3166214138822803,59.0,0
2019-10-07,37,80125,642,Unemployed,Bachelor,12,9578,120,Married,0.0,Own,,0.1780545143652921,8,1,0.1754367358372006,0,Other,0,30,6,6925,1049,119544,11297,6677.083333333333,0.8145049972008538,6.0,108247,0.243578,0.2330475801394434,206.5516609934612,0.0619359741893483,36.8,1
2028-03-24,38,38343,547,Unemployed,Associate,16,30619,48,Married,0.0,Own,207.0,0.1689546557104961,1,2,0.2278844394678448,0,Auto,0,25,27,2085,6921,59993,48737,1597.625,0.9155502335913784,5.0,11256,0.252119,0.2395946635056939,997.5496027443656,0.3769813325230782,55.0,0
2055-04-16,30,53395,544,Employed,High School,4,19867,60,Single,0.0,Own,388.0,0.7442724495332104,1,3,0.3062943192592441,0,Auto,0,19,13,6040,6863,72147,1519,4449.583333333333,0.8740207791858948,5.0,70628,0.252867,0.2806981871929987,619.4124268929868,0.2264060140971222,54.0,0
2033-08-26,45,174403,451,Unemployed,Bachelor,18,30580,48,Single,0.0,Own,367.0,0.4455626824336246,1,0,0.4962767928154264,1,Home,0,26,18,2268,303,240044,12055,14533.583333333334,0.825928025832045,3.0,227989,0.30008,0.3042920335389535,1108.7100939658762,0.1015379387257702,52.8,1
2019-08-31,25,58653,451,Employed,Master,3,31899,24,Divorced,1.0,Rent,527.0,0.1517858008843752,1,2,0.2227276494075803,0,Debt Consolidation,0,18,6,810,1947,33095,10638,2443.875,0.7669356641331013,10.0,22457,0.281399,0.2890660515690096,1765.6588473973295,0.4690622162339174,53.0,0
2070-06-11,38,117761,549,Employed,Bachelor,16,7633,24,Married,0.0,Mortgage,563.0,0.2615837176237774,1,1,0.1635600062583684,0,Other,0,28,24,1484,1476,27363,9414,9813.416666666666,0.9369151644454627,2.0,17949,0.2081329999999999,0.1846370849564466,382.78306789107086,0.0963765322534018,39.2,1
2072-05-29,58,52638,637,Employed,Master,35,21866,48,Married,3.0,Mortgage,208.0,0.3102557263935937,4,0,0.2280380657070505,0,Auto,0,23,14,2863,2252,58356,37891,4386.5,0.8084039969965423,5.0,20465,0.198366,0.1825777222265406,645.2627795068823,0.1945201822653328,39.2,1
2055-02-10,21,144703,538,Employed,Bachelor,1,44435,60,Single,3.0,Mortgage,317.0,0.2818717290461159,3,1,0.1274673534155163,0,Auto,0,27,24,1602,884,14866,23583,12058.583333333334,0.9674181679472024,3.0,8068,0.280435,0.224348,1238.2564575438278,0.1289750557384845,38.400000000000006,1
2066-09-10,35,93333,500,Employed,Bachelor,14,8382,48,Divorced,0.0,Other,157.0,0.3266477756150511,3,0,0.1756030897643797,0,Debt Consolidation,0,21,18,597,1257,42537,76848,7777.75,0.9057575203307734,4.0,5120,0.253382,0.2714048128132354,288.0230224371462,0.0572174500899548,39.2,1
2045-01-11,36,39705,597,Employed,Master,13,11207,108,Widowed,0.0,Mortgage,664.0,0.2283606490018033,3,2,0.2836640221283236,0,Education,1,18,22,21054,1307,145195,18593,3308.75,0.9847851801838836,5.0,126602,0.257707,0.2937050838648495,296.0316589602187,0.290149349137958,55.0,0
2040-11-17,39,35967,563,Self-Employed,Master,16,5594,24,Widowed,0.0,Mortgage,202.0,0.1973075110995608,-3,1,0.2417390674729316,0,Home,0,32,19,1764,762,81187,3529,2997.25,0.9415017385456824,3.0,77658,0.1990939999999999,0.2187035804811025,289.8483884806494,0.1640998877239634,42.400000000000006,1
2072-07-31,25,10000000,590,Employed,Bachelor,0,32537,72,Divorced,,Own,585.0,0.4702577503544218,4,1,0.1844205649866541,0,Home,0,25,28,2730,11827,14557,79983,9835.666666666666,0.5346430243707619,5.0,10650,0.252537,0.2737800503167578,924.5228967702028,0.1534743854106011,50.0,0
2062-02-16,33,71959,614,Employed,High School,8,48345,48,Married,0.0,Mortgage,1318.0,0.4190844027599352,3,0,0.2817295224915064,0,Home,0,20,4,14944,4344,67003,15549,5996.583333333333,0.8415990864274719,8.0,51454,0.236345,0.2701706557993333,1657.8473217356511,0.496257144496558,51.0,0
2062-03-22,53,37693,558,Employed,High School,31,23431,12,Single,0.0,Mortgage,334.0,0.2403077586501932,2,0,0.1863024275615749,0,Auto,0,25,17,1702,757,54652,6434,3141.083333333333,0.9525878387896216,4.0,48218,0.209431,0.2209580070009096,2194.090372097174,0.8048466416885387,51.0,0
2066-08-16,39,47212,572,Unemployed,High School,19,63836,96,Married,1.0,Other,760.0,0.3507699742869266,3,0,0.2447844440459997,0,Debt Consolidation,0,22,24,1383,1605,155689,74657,3934.3333333333335,0.8251626748259524,9.0,81032,0.312836,0.3483848215788322,1980.213042470422,0.6964872597993108,54.0,0
2020-09-23,61,91274,594,Employed,Bachelor,36,13560,36,Married,3.0,Mortgage,789.0,0.5377437204532658,3,1,0.1013726062782483,0,Auto,0,21,9,2288,2030,94280,314621,7606.166666666667,0.8407032842970953,7.0,6366,0.20156,0.161248,477.5652755516032,0.1665182122687648,40.8,1
2042-09-04,18,75579,621,Employed,Master,0,31782,12,Single,0.0,Rent,1136.0,0.2835029146653029,-1,1,0.4653911595620137,0,Auto,0,26,14,3219,1149,21590,72993,6298.25,0.8548087691037328,5.0,1954,0.186282,0.1775373681108452,2910.049981347257,0.6424086026034624,53.0,0
2056-04-17,41,42082,558,Employed,High School,18,46129,60,Married,2.0,Rent,502.0,0.297495087953677,5,0,0.3468313459509858,0,Other,0,28,21,8091,3451,208327,23622,3506.833333333333,0.9529224138113508,4.0,184705,0.272129,0.317847114331201,1543.3908712104694,0.5832586486983896,51.0,0
2046-02-17,30,58064,611,Employed,Bachelor,7,18357,36,Married,1.0,Other,442.0,0.2892899483025513,5,1,0.317296808365045,0,Other,0,29,11,756,6305,61638,19527,4838.666666666667,0.9322041603132636,4.0,42111,0.1978569999999999,0.160132032439159,645.4973213967336,0.2247514442126068,40.8,1
2070-11-14,27,36185,405,Employed,High School,2,24735,48,Single,3.0,Mortgage,497.0,0.4351519686282887,3,2,0.5789681549916661,1,Other,0,21,9,6362,2206,49845,28220,3015.4166666666665,0.8213628875039468,4.0,21625,0.317235,0.2869859950065483,871.9840391605518,0.4539949832783369,73.0,0
2048-07-28,24,73995,500,Employed,Bachelor,1,35571,36,Married,0.0,Own,289.0,0.1924180766287388,1,0,0.3245254516160161,0,Home,0,25,7,1402,2870,49135,16925,6166.25,0.9315636657692394,7.0,32210,0.270571,0.3102241207627496,1530.0334364343298,0.2949983274168789,54.0,0
2039-09-05,34,50329,499,Employed,Bachelor,10,32622,36,Divorced,1.0,Rent,829.0,0.5120712126263711,4,2,0.0490628838200451,0,Home,0,20,27,3472,330,123296,17368,4194.083333333333,0.7996873604554121,4.0,105928,0.2681219999999999,0.2247447566632056,1253.8706273347875,0.4966211831750572,47.0,0
2056-01-16,45,59034,540,Employed,Associate,-2,19464,36,Divorced,2.0,Mortgage,648.0,0.4114143251742382,1,0,0.2902725831444376,0,Auto,0,29,21,4737,1470,24446,141209,4919.5,0.7731334391777566,5.0,3795,0.234464,0.2813568,806.5282870009514,0.2956658780365792,53.0,0
2023-09-26,52,25275,604,Employed,High School,27,25598,24,Single,2.0,Mortgage,387.0,0.1641266734962576,1,0,0.3134876609214359,0,Debt Consolidation,0,24,27,2659,342,64453,49230,2106.25,0.9201248996602054,5.0,15223,0.198598,0.2114706692203616,1317.2197235346748,0.8091250912924272,52.0,0
2071-12-27,62,50614,586,Employed,High School,39,22900,60,Married,3.0,Rent,560.0,0.1857660518878334,1,0,0.2020913948011733,0,Home,0,28,14,1271,902,31727,171738,4217.833333333333,0.8722045395516803,8.0,3631,0.2349,0.2265300288875194,641.0045624551661,0.2847444333477298,51.0,0
2066-08-04,18,98980,523,Employed,Associate,0,40539,36,Married,1.0,Mortgage,428.0,0.2047451821896063,6,2,0.2202265299516829,0,Home,0,26,19,17169,4498,21667,15144,8248.333333333334,0.6771662384529686,7.0,6523,0.264039,0.27003079891505,1655.080379509665,0.2525456107710242,51.0,0
2063-01-27,45,58740,445,Employed,Associate,22,17689,108,Married,4.0,Rent,858.0,0.5883362851622843,2,3,0.147686945860181,0,Auto,1,25,22,13130,1043,14173,1119,4895.0,0.936508452201667,5.0,13054,0.3401889999999999,0.3350300927674962,520.4583486403205,0.2816053827661533,57.0,0
2051-05-25,42,10000000,597,Employed,Associate,17,21882,84,Divorced,,Other,468.0,0.3512223395979797,3,1,0.1150485850267817,0,Home,0,20,24,3614,2948,128613,16228,2911.9166666666665,0.7593982136527659,5.0,112385,0.248382,0.2488748899145306,552.296081381116,0.3503864286573389,47.0,0
2047-01-02,50,26922,398,Employed,Associate,26,14437,48,Married,0.0,Other,611.0,0.1454285478625328,6,1,0.2959369008523777,0,Education,1,22,29,1695,1754,107195,9634,2243.5,0.8910419372953298,3.0,97561,0.3104369999999999,0.3319296703422412,546.9681520104681,0.5161435934969771,57.0,0
2072-02-22,39,41629,634,Employed,Master,16,17092,48,Married,2.0,Mortgage,572.0,0.2487816246743322,2,1,0.4035596648475853,0,Home,0,17,19,2425,616,344907,15159,3469.083333333333,0.76618512053492,6.0,329748,0.195092,0.1671571431152483,490.6800915842742,0.3063287876002615,38.400000000000006,1
2071-09-06,29,26223,589,Employed,High School,5,33669,36,Married,0.0,Mortgage,280.0,0.241682398252742,0,0,0.287876660695079,1,Home,1,26,15,11080,1037,29572,8415,2185.25,0.8052582650708062,4.0,21157,0.224169,0.1966392627869737,1245.5027161480682,0.6980907063942653,72.0,0
2031-01-16,44,40553,608,Employed,Associate,-1,17104,96,Single,1.0,Mortgage,319.0,0.3113982921232016,1,2,0.1269108097391537,0,Debt Consolidation,0,25,12,2846,1962,22893,35089,3379.4166666666665,0.9088391471636328,11.0,8869,0.248104,0.2500363170161047,413.4904754425176,0.216750566057017,48.0,0
2048-03-30,57,48779,642,Employed,Master,35,19699,36,Single,0.0,Rent,227.0,0.3660394262747243,3,1,0.1465420382395447,0,Home,0,22,12,3317,3121,77853,26192,4064.9166666666665,0.7851404450312909,2.0,51661,0.183699,0.1883586876156527,720.4532771912469,0.2330806151478087,46.0,0
2063-01-07,44,96645,575,Employed,Bachelor,21,32496,48,Divorced,,Rent,603.0,0.1755267576543037,0,0,0.2034150857948103,0,Debt Consolidation,0,24,1,1295,3367,87527,6928,8053.75,0.6929513177054264,5.0,80599,0.239996,0.2294123444685426,1040.4986308051923,0.2040662586751752,52.0,0
2028-11-06,40,38697,617,Employed,Bachelor,19,56256,36,Single,1.0,Mortgage,238.0,0.2697324998291862,4,0,0.3672112244471741,0,Home,0,17,18,2297,2454,140534,25417,3224.75,0.8858922564952076,4.0,115117,0.232756,0.2241410529374223,2160.512529010619,0.7437824727531185,48.0,0
2049-08-23,18,44213,440,Employed,High School,0,25937,24,Single,2.0,Mortgage,169.0,0.3033503915394459,1,1,0.4823536397141121,0,Other,0,18,13,2276,900,77671,68449,3684.4166666666665,0.8482671818309944,1.0,9222,0.280937,0.2341826944492393,1363.798485395631,0.4160220257559444,57.0,0
2053-07-23,22,15000,467,Employed,Master,15,26295,60,Single,0.0,Rent,198.0,0.3407314634622546,2,1,0.0957361770587116,0,Education,0,22,3,1178,2056,14144,70201,1250.0,0.9228565165617394,7.0,4028,0.297795,0.3034144628980634,856.2556248205095,0.8434044998564078,55.0,0
2041-04-09,52,41684,546,Employed,Associate,28,19256,48,Married,2.0,Rent,683.0,0.1568708299454458,4,0,0.4525424882625446,0,Home,0,25,2,5264,818,21420,57636,3473.6666666666665,0.7636951522647968,4.0,5270,0.241256,0.2689565222160195,659.000864804517,0.3863355334817725,60.0,0
2039-05-01,41,87716,436,Employed,Bachelor,13,31000,24,Married,0.0,Mortgage,757.0,0.320413953327102,4,2,0.1599559926611508,0,Home,0,24,21,1320,1281,25513,17039,7309.666666666667,0.7264683661819805,6.0,8474,0.288,0.2666612239711219,1680.5443917020132,0.3334686112046166,39.2,1
2026-05-23,21,41374,589,Employed,High School,0,42331,36,Married,2.0,Rent,388.0,0.323343967729048,3,0,0.552095865439995,0,Debt Consolidation,0,22,14,3824,286,147678,4536,3447.833333333333,0.8821366413166646,11.0,143142,0.232831,0.2143983746258329,1604.3988210425568,0.5778698180623262,55.0,0
2039-09-19,56,39207,617,Employed,Doctorate,32,16677,72,Married,2.0,Other,505.0,0.2510391054947128,4,0,0.6010808005028917,0,Home,0,16,18,1099,1045,16287,26052,3267.25,0.8119369888892845,3.0,6890,0.223177,0.2061181586046654,405.3976319293213,0.2786433948823387,56.0,0
2069-07-29,58,68904,575,Employed,Associate,36,23905,96,Divorced,3.0,,432.0,0.5661354482028407,3,4,0.1894866715649794,0,Home,0,32,13,13219,926,50733,8247,5742.0,0.806790930400586,3.0,42486,0.271405,0.231068944893837,548.1538522904101,0.1706990338367137,51.0,0
2022-02-03,58,63615,587,Employed,Associate,35,62838,72,Married,2.0,Rent,332.0,0.1610134984570659,5,2,0.2257633733719564,0,Other,0,27,28,2527,1142,26528,5342,5301.25,0.7370692849298184,5.0,21186,0.284338,0.2898914038897182,1849.6699083527087,0.4115387707338285,51.0,0
2069-08-05,46,119717,642,Employed,Master,21,13872,36,Divorced,0.0,Rent,693.0,0.2111490883882225,4,3,0.0701005976247863,0,Home,0,22,11,2304,707,102681,21795,9976.416666666666,0.9099539878361552,5.0,80886,0.177872,0.1749157538166241,497.975065576175,0.1193790421319787,35.2,1
2063-10-12,29,71127,536,Employed,High School,6,17905,36,Married,2.0,,493.0,0.1084269831097998,4,1,0.0511015900053171,0,Debt Consolidation,0,31,27,3018,3823,208075,37370,5927.25,0.8911730550507583,8.0,170705,0.234905,0.236416433316939,699.0996916655913,0.2011218847974341,36.0,1
2022-09-30,36,104847,610,Employed,Doctorate,13,30281,96,Married,3.0,Rent,352.0,0.1588609632030484,0,2,0.1706567535375502,0,Education,0,23,25,7273,1195,410521,54077,8737.25,0.8735737433760997,12.0,356444,0.260281,0.2374731841121621,706.990757982334,0.1212041269257871,31.200000000000003,1
2056-06-18,30,49287,579,Self-Employed,Bachelor,7,10121,60,Single,3.0,Rent,437.0,0.2370184944553449,4,0,0.4374866909103063,0,Auto,0,21,8,31470,409,146154,26868,4107.25,0.7758422908267324,,119286,0.225621,0.2405551091885559,291.4867789317848,0.1773660670599025,57.0,0
2058-11-02,25,211696,515,Employed,Associate,4,25921,72,Widowed,0.0,,,0.2225409754221098,3,0,0.0830405007467024,0,Home,0,32,21,6976,994,74285,8110,17641.333333333332,0.7653849802748425,8.0,66175,0.283421,0.2388036849892779,680.5365564229121,0.0609101668292029,36.8,1
2066-03-13,39,42771,628,Employed,Master,18,14480,36,Divorced,3.0,Rent,232.0,0.0819118347059043,2,0,0.15020054589636,0,Debt Consolidation,0,20,26,27792,406,28198,98402,3564.25,0.6122956672925599,6.0,9999,0.18548,0.156222189874972,506.37727938958767,0.2071620339172582,37.6,1
2030-07-15,33,24324,448,Employed,Master,8,26631,36,Married,0.0,Mortgage,323.0,0.4800284967951395,5,1,0.4228709158577792,0,Debt Consolidation,0,27,7,2497,841,53949,48055,2027.0,0.7290368065296589,,5894,0.2876309999999999,0.2490812849179133,1057.5503610220032,0.6810805925120884,60.0,0
2051-12-16,37,10000000,614,Self-Employed,Master,14,66159,48,Single,4.0,Mortgage,376.0,0.1769785815899507,2,2,0.4453568823848535,0,Debt Consolidation,1,24,17,7305,840,39431,14299,5008.75,0.7367703161757806,5.0,25132,0.2541589999999999,0.2673758736654656,2258.244384569262,0.5259285020352906,60.0,0
2046-09-26,36,53179,603,Employed,High School,12,8302,60,Married,1.0,Mortgage,223.0,0.3074496264414213,1,1,0.3739980942153066,0,Auto,0,28,21,3128,1003,6900,38325,2215.7916666666665,0.5191141916960599,,10691,0.211802,0.2092682116508637,224.2553766783423,0.1009245100535946,40.8,1
2066-10-21,48,35502,444,Unemployed,Master,23,54998,84,Married,1.0,Rent,385.0,0.3549021380218526,4,0,0.5105704053839614,0,Other,1,24,19,5487,4340,276745,22284,2958.5,0.8842748105908645,6.0,254461,0.357998,0.3770939014965518,1867.0943840635568,0.7612284549817666,62.0,0
2020-04-19,37,71118,503,Employed,High School,15,13002,60,Single,2.0,Rent,132.0,0.4547352729662585,3,0,0.4238052472581367,0,Education,0,28,29,1623,368,105416,425546,5926.5,0.8177321150149042,,9112,0.2665019999999999,0.2711474522641807,397.91251220677975,0.089414074446432,45.6,1
